vacc_date,Bundesland,viert_praxen
2021-12-01,Sachsen,NA
2021-12-01,Sachsen-Anhalt,NA
2021-12-01,Schleswig-Holstein,NA
2021-12-02,Baden-Württemberg,NA
2021-12-02,Bayern,NA
2021-12-02,Berlin,NA
2021-12-02,Niedersachsen,NA
2021-12-02,Nordrhein-Westfalen,NA
2021-12-02,Rheinland-Pfalz,NA
2021-12-02,Sachsen,NA
2021-12-02,Thüringen,NA
2021-12-03,Baden-Württemberg,NA
2021-12-03,Bayern,NA
2021-12-03,Berlin,NA
2021-12-03,Brandenburg,NA
2021-12-03,Hamburg,NA
2021-12-03,Hessen,NA
2021-12-03,Niedersachsen,NA
2021-12-03,Nordrhein-Westfalen,NA
2021-12-03,Rheinland-Pfalz,NA
2021-12-03,Saarland,NA
2021-12-03,Sachsen-Anhalt,NA
2021-12-03,Schleswig-Holstein,NA
2021-12-03,Thüringen,NA
2021-12-04,Baden-Württemberg,NA
2021-12-04,Bayern,NA
2021-12-04,Berlin,NA
2021-12-04,Hessen,NA
2021-12-04,Nordrhein-Westfalen,NA
2021-12-04,Rheinland-Pfalz,NA
2021-12-04,Sachsen-Anhalt,NA
2021-12-04,Schleswig-Holstein,NA
2021-12-05,Baden-Württemberg,NA
2021-12-05,Bayern,NA
2021-12-05,Berlin,NA
2021-12-05,Hessen,NA
2021-12-05,Niedersachsen,NA
2021-12-06,Baden-Württemberg,NA
2021-12-06,Bayern,NA
2021-12-06,Berlin,NA
2021-12-06,Brandenburg,NA
2021-12-06,Hessen,NA
2021-12-06,Mecklenburg-Vorpommern,NA
2021-12-06,Niedersachsen,NA
2021-12-06,Nordrhein-Westfalen,NA
2021-12-06,Rheinland-Pfalz,NA
2021-12-07,Baden-Württemberg,NA
2021-12-07,Bayern,NA
2021-12-07,Berlin,NA
2021-12-07,Brandenburg,NA
2021-12-07,Bundesressorts,NA
2021-12-07,Hessen,NA
2021-12-07,Nordrhein-Westfalen,NA
2021-12-07,Rheinland-Pfalz,NA
2021-12-07,Sachsen,NA
2021-12-07,Thüringen,NA
2021-12-08,Baden-Württemberg,NA
2021-12-08,Bayern,NA
2021-12-08,Brandenburg,NA
2021-12-08,Bremen,NA
2021-12-08,Hamburg,NA
2021-12-08,Hessen,NA
2021-12-08,Nordrhein-Westfalen,NA
2021-12-08,Rheinland-Pfalz,NA
2021-12-08,Sachsen,NA
2021-12-08,Thüringen,NA
2021-12-09,Baden-Württemberg,NA
2021-12-09,Bayern,NA
2021-12-09,Berlin,NA
2021-12-09,Brandenburg,NA
2021-12-09,Bundesressorts,NA
2021-12-09,Hamburg,NA
2021-12-09,Hessen,NA
2021-12-09,Niedersachsen,NA
2021-12-09,Nordrhein-Westfalen,NA
2021-12-09,Rheinland-Pfalz,NA
2021-12-09,Sachsen,NA
2021-12-09,Schleswig-Holstein,NA
2021-12-10,Baden-Württemberg,NA
2021-12-10,Bayern,NA
2021-12-10,Brandenburg,NA
2021-12-10,Hamburg,NA
2021-12-10,Hessen,NA
2021-12-10,Mecklenburg-Vorpommern,NA
2021-12-10,Nordrhein-Westfalen,NA
2021-12-10,Rheinland-Pfalz,NA
2021-12-10,Sachsen,NA
2021-12-11,Baden-Württemberg,NA
2021-12-11,Bayern,NA
2021-12-11,Brandenburg,NA
2021-12-11,Bremen,NA
2021-12-11,Hessen,NA
2021-12-11,Nordrhein-Westfalen,NA
2021-12-11,Rheinland-Pfalz,NA
2021-12-11,Sachsen,NA
2021-12-11,Sachsen-Anhalt,NA
2021-12-11,Schleswig-Holstein,NA
2021-12-11,Thüringen,NA
2021-12-12,Baden-Württemberg,NA
2021-12-12,Bayern,NA
2021-12-13,Baden-Württemberg,NA
2021-12-13,Bayern,NA
2021-12-13,Berlin,NA
2021-12-13,Hessen,NA
2021-12-13,Niedersachsen,NA
2021-12-13,Nordrhein-Westfalen,NA
2021-12-13,Rheinland-Pfalz,NA
2021-12-13,Sachsen,NA
2021-12-13,Schleswig-Holstein,NA
2021-12-13,Thüringen,NA
2021-12-14,Baden-Württemberg,NA
2021-12-14,Bayern,NA
2021-12-14,Berlin,NA
2021-12-14,Brandenburg,NA
2021-12-14,Bremen,NA
2021-12-14,Hamburg,NA
2021-12-14,Hessen,NA
2021-12-14,Niedersachsen,NA
2021-12-14,Nordrhein-Westfalen,NA
2021-12-14,Rheinland-Pfalz,NA
2021-12-14,Sachsen,NA
2021-12-14,Schleswig-Holstein,NA
2021-12-14,Thüringen,NA
2021-12-15,Baden-Württemberg,NA
2021-12-15,Bayern,NA
2021-12-15,Bremen,NA
2021-12-15,Bundesressorts,NA
2021-12-15,Hamburg,NA
2021-12-15,Hessen,NA
2021-12-15,Mecklenburg-Vorpommern,NA
2021-12-15,Niedersachsen,NA
2021-12-15,Nordrhein-Westfalen,NA
2021-12-15,Rheinland-Pfalz,NA
2021-12-15,Sachsen,NA
2021-12-15,Sachsen-Anhalt,NA
2021-12-15,Schleswig-Holstein,NA
2021-12-15,Thüringen,NA
2021-12-16,Baden-Württemberg,NA
2021-12-16,Bayern,NA
2021-12-16,Berlin,NA
2021-12-16,Brandenburg,NA
2021-12-16,Bremen,NA
2021-12-16,Bundesressorts,NA
2021-12-16,Hamburg,NA
2021-12-16,Hessen,NA
2021-12-16,Mecklenburg-Vorpommern,NA
2021-12-16,Niedersachsen,NA
2021-12-16,Nordrhein-Westfalen,NA
2021-12-16,Rheinland-Pfalz,NA
2021-12-16,Sachsen,NA
2021-12-16,Schleswig-Holstein,NA
2021-12-16,Thüringen,NA
2021-12-17,Baden-Württemberg,NA
2021-12-17,Bayern,NA
2021-12-17,Berlin,NA
2021-12-17,Brandenburg,NA
2021-12-17,Bremen,NA
2021-12-17,Bundesressorts,NA
2021-12-17,Hamburg,NA
2021-12-17,Hessen,NA
2021-12-17,Nordrhein-Westfalen,NA
2021-12-17,Rheinland-Pfalz,NA
2021-12-17,Schleswig-Holstein,NA
2021-12-17,Thüringen,NA
2021-12-18,Baden-Württemberg,NA
2021-12-18,Bayern,NA
2021-12-18,Brandenburg,NA
2021-12-18,Hessen,NA
2021-12-18,Niedersachsen,NA
2021-12-18,Nordrhein-Westfalen,NA
2021-12-18,Rheinland-Pfalz,NA
2021-12-18,Sachsen,NA
2021-12-18,Sachsen-Anhalt,NA
2021-12-19,Baden-Württemberg,NA
2021-12-19,Bayern,NA
2021-12-19,Bremen,NA
2021-12-19,Hamburg,NA
2021-12-19,Hessen,NA
2021-12-19,Nordrhein-Westfalen,NA
2021-12-19,Rheinland-Pfalz,NA
2021-12-19,Sachsen,NA
2021-12-20,Baden-Württemberg,NA
2021-12-20,Bayern,NA
2021-12-20,Berlin,NA
2021-12-20,Brandenburg,NA
2021-12-20,Bremen,NA
