Bundesland,date,dritte_alle
Niedersachsen,2021-09-10,697
Bremen,2021-09-10,616
Nordrhein-Westfalen,2021-09-10,5717
Hessen,2021-09-10,2080
Rheinland-Pfalz,2021-09-10,1263
Baden-Württemberg,2021-09-10,3673
Bayern,2021-09-10,2634
Saarland,2021-09-10,322
Berlin,2021-09-10,1293
Brandenburg,2021-09-10,586
Mecklenburg-Vorpommern,2021-09-10,145
Sachsen,2021-09-10,452
Sachsen-Anhalt,2021-09-10,367
Thüringen,2021-09-10,885
NA,2021-09-10,1
Schleswig-Holstein,2021-09-11,683
Hamburg,2021-09-11,3
Niedersachsen,2021-09-11,46
Bremen,2021-09-11,6
Nordrhein-Westfalen,2021-09-11,1117
Hessen,2021-09-11,609
Rheinland-Pfalz,2021-09-11,204
Baden-Württemberg,2021-09-11,1716
Bayern,2021-09-11,924
Saarland,2021-09-11,23
Berlin,2021-09-11,463
Brandenburg,2021-09-11,21
Mecklenburg-Vorpommern,2021-09-11,2
Sachsen,2021-09-11,131
Sachsen-Anhalt,2021-09-11,86
Thüringen,2021-09-11,163
Schleswig-Holstein,2021-09-12,638
Niedersachsen,2021-09-12,88
Bremen,2021-09-12,18
Nordrhein-Westfalen,2021-09-12,712
Hessen,2021-09-12,605
Rheinland-Pfalz,2021-09-12,27
Baden-Württemberg,2021-09-12,1312
Bayern,2021-09-12,542
Saarland,2021-09-12,3
Berlin,2021-09-12,472
Mecklenburg-Vorpommern,2021-09-12,1
Sachsen,2021-09-12,97
Sachsen-Anhalt,2021-09-12,21
Thüringen,2021-09-12,38
Schleswig-Holstein,2021-09-13,1043
Hamburg,2021-09-13,67
Niedersachsen,2021-09-13,456
Bremen,2021-09-13,456
Nordrhein-Westfalen,2021-09-13,4434
Hessen,2021-09-13,2573
Rheinland-Pfalz,2021-09-13,1187
Baden-Württemberg,2021-09-13,3888
Bayern,2021-09-13,2452
Saarland,2021-09-13,158
Berlin,2021-09-13,2387
Brandenburg,2021-09-13,190
