"";"RS";"Kreis";"Verhältnis"
"301";7311000;"Frankenthal (Pfalz), Stadt";1,79019229348758
"302";9376000;"Schwandorf";1,79039019646977
"303";6432000;"Darmstadt-Dieburg";1,79551752342056
"304";9277000;"Rottal-Inn";1,81925660248353
"305";7336000;"Kusel";1,85151369554255
"306";9185000;"Neuburg-Schrobenhausen";1,86058659621015
"307";12052000;"Cottbus, Stadt";1,88765042552309
"308";9572000;"Erlangen-Höchstadt";1,89752611758705
"309";12070000;"Prignitz";1,91287799284157
"310";15088000;"Saalekreis";1,91950621087403
"311";8237000;"Freudenstadt";1,92580416348223
"312";12053000;"Frankfurt (Oder), Stadt";1,92619225242811
"313";7137000;"Mayen-Koblenz";1,93257534830006
"314";8215000;"Karlsruhe";1,94721281474085
"315";7339000;"Mainz-Bingen";1,94811610761619
"316";12064000;"Märkisch-Oderland";1,95947896418333
"317";8126000;"Hohenlohekreis";1,96143166828751
"318";3355000;"Lüneburg";1,96269642863961
"319";3352000;"Cuxhaven";1,98545628576435
"320";3353000;"Harburg";1,99102805014517
"321";13075000;"Vorpommern-Greifswald";1,99494583412889
"322";7314000;"Ludwigshafen am Rhein, Stadt";1,99662892630432
"323";12068000;"Ostprignitz-Ruppin";1,9985535393883
"324";12060000;"Barnim";2,01830406177041
"325";6437000;"Odenwaldkreis";2,03028925357237
"326";9271000;"Deggendorf";2,03348750319298
"327";9274000;"Landshut";2,04208082876124
"328";5358000;"Düren";2,10031042559346
"329";3351000;"Celle";2,11690958897752
"330";4012000;"Bremerhaven, Stadt";2,12623901143588
"331";9478000;"Lichtenfels";2,12966543107656
"332";9262000;"Passau, Stadt";2,1552770096612
"333";5154000;"Kleve";2,16315945871046
"334";3354000;"Lüchow-Dannenberg";2,17422229889023
"335";13073000;"Vorpommern-Rügen";2,17944783620816
"336";7334000;"Germersheim";2,2144374373793
"337";7231000;"Bernkastel-Wittlich";2,24132746437274
"338";7140000;"Rhein-Hunsrück-Kreis";2,25892825117495
"339";9278000;"Straubing-Bogen";2,26685519865489
"340";15084000;"Burgenlandkreis";2,29061217232671
"341";15087000;"Mansfeld-Südharz";2,3023483363145
"342";9571000;"Ansbach";2,30298603189708
"343";9172000;"Berchtesgadener Land";2,34313146956968
"344";9677000;"Main-Spessart";2,36636408296003
"345";16055000;"Weimar, Stadt";2,36928492341206
"346";9764000;"Memmingen, Stadt";2,38395413455227
"347";16062000;"Nordhausen";2,39070398303461
"348";15001000;"Dessau-Roßlau, Stadt";2,4155975463683
"349";9373000;"Neumarkt i.d.OPf.";2,42734451752764
"350";14626000;"Görlitz";2,44074177517758
"351";15003000;"Magdeburg, Stadt";2,44394760317152
"352";9171000;"Altötting";2,44750798111284
"353";3462000;"Wittmund";2,48611124904644
"354";16063000;"Wartburgkreis";2,51195588743811
"355";5774000;"Paderborn";2,54896785494963
"356";16071000;"Weimarer Land";2,5538921556742
"357";14625000;"Bautzen";2,63278434497728
"358";3254000;"Hildesheim";2,65393611848204
"359";12062000;"Elbe-Elster";2,67692472190543
"360";9374000;"Neustadt a.d.Waldnaab";2,6804217008027
"361";14612000;"Dresden, Stadt";2,71671441281658
"362";14522000;"Mittelsachsen";2,82850949424839
"363";16074000;"Saale-Holzland-Kreis";2,8866789523244
"364";15082000;"Anhalt-Bitterfeld";2,89790084837929
"365";8425000;"Alb-Donau-Kreis";3,00097723080868
"366";16064000;"Unstrut-Hainich-Kreis";3,01150727789857
"367";16075000;"Saale-Orla-Kreis";3,02018758881216
"368";12073000;"Uckermark";3,03198105499924
"369";13004000;"Schwerin, Stadt";3,0410926260279
"370";16072000;"Sonneberg";3,04140567839248
"371";9778000;"Unterallgäu";3,05279289592251
"372";10046000;"St. Wendel";3,05645848729957
"373";13071000;"Mecklenburgische Seenplatte";3,12760951453844
"374";14729000;"Leipzig";3,15738136680204
"375";15083000;"Börde";3,16270532325456
"376";14730000;"Nordsachsen";3,16782702585171
"377";16076000;"Greiz";3,17877812807253
"378";15081000;"Altmarkkreis Salzwedel";3,20384787371983
"379";16077000;"Altenburger Land";3,25697313686118
"380";12067000;"Oder-Spree";3,33105399532081
"381";16070000;"Ilm-Kreis";3,39134884651673
"382";16067000;"Gotha";3,39316289178235
"383";16073000;"Saalfeld-Rudolstadt";3,41936983519125
"384";16068000;"Sömmerda";3,45338670434916
"385";14511000;"Chemnitz, Stadt";3,47830318399398
"386";14521000;"Erzgebirgskreis";3,50274825605465
"387";14628000;"Sächsische Schweiz-Osterzgebirge";3,57008232582306
"388";7233000;"Vulkaneifel";3,57022518388256
"389";14627000;"Meißen";3,69123812104499
"390";12071000;"Spree-Neiße";3,79154095313838
"391";12066000;"Oberspreewald-Lausitz";3,79347798904512
"392";16066000;"Schmalkalden-Meiningen";3,81842982798067
"393";15089000;"Salzlandkreis";3,84168788416565
"394";14524000;"Zwickau";3,8769434613091
"395";3461000;"Wesermarsch";4,16777374153163
"396";3460000;"Vechta";4,18396591080436
"397";16069000;"Hildburghausen";4,2508714512975
"398";16051000;"Erfurt, Stadt";4,29062503168636
"399";9762000;"Kaufbeuren, Stadt";4,51144143626059
"400";14523000;"Vogtlandkreis";4,68958829160277
"401";16061000;"Eichsfeld";7,48505211179278
