"Kennziffer";"Raumeinheit";"Aggregat";"Einwohner 65 Jahre und älter";"Einwohnerdichte";"Frauenanteil";"Ausländeranteil";"Anteil Schutzsuchender an Bevölkerung";"Haushalte mit niedrigem Einkommen";"Stimmenanteile AfD";"Wahlbeteiligung"
15001;"Dessau-Roßlau, Stadt";"krsfr. Stadt";30,8;335;51,4;5,5;2,5;40,5;20,1;68,8
15002;"Halle (Saale), Stadt";"krsfr. Stadt";23,9;1771;51,6;9,1;3,6;42,8;17,1;69,7
15003;"Magdeburg, Stadt";"krsfr. Stadt";24,1;1186;50,7;8,6;2,9;41,8;15,7;68,6
15081;"Altmarkkreis Salzwedel";"Landkreis";23,6;37;50,1;3,6;1,3;38;15,6;66,9
15082;"Anhalt-Bitterfeld";"Landkreis";27,3;111;50,9;3,5;1;39,6;22,4;66,1
15083;"Börde";"Landkreis";23,1;73;50,1;3,1;1,2;38,4;18,8;66,7
15084;"Burgenlandkreis";"Landkreis";27,3;129;50,3;5,1;1,3;40,8;24,3;66,9
15085;"Harz";"Landkreis";27,5;103;50,9;3;0,8;38,6;16,5;65,9
15086;"Jerichower Land";"Landkreis";25,2;57;50,2;3,4;1,1;40;19;67,7
15087;"Mansfeld-Südharz";"Landkreis";28,9;95;50,8;2,9;1,4;40,8;23,9;65,7
15088;"Saalekreis";"Landkreis";25,1;129;50,5;3,5;1,4;39;24;69
15089;"Salzlandkreis";"Landkreis";27,4;135;51,1;3,1;1,1;41,2;20,4;63,3
15090;"Stendal";"Landkreis";24,8;47;50,6;3,7;1,4;39,9;17,7;65,9
15091;"Wittenberg";"Landkreis";28;66;50,7;3,2;1,2;39,3;19,9;68,8
16051;"Erfurt, Stadt";"krsfr. Stadt";21,9;789;51,3;7,4;2,5;40,4;18,5;74,7
16052;"Gera, Stadt";"krsfr. Stadt";28,4;623;51,6;5,8;3;41,4;28,5;71,3
16053;"Jena, Stadt";"krsfr. Stadt";21,1;968;50,1;8,9;2,3;36,2;14,4;78,4
16054;"Suhl, Stadt";"krsfr. Stadt";31,5;341;51,3;7;1,1;37;19,9;70,8
16055;"Weimar, Stadt";"krsfr. Stadt";22,8;763;51,5;8,2;2,3;38,9;16,1;74,9
16056;"Eisenach, Stadt";"krsfr. Stadt";25,6;410;50,7;7,9;3;37,4;19;72
16061;"Eichsfeld";"Landkreis";23,1;107;49,7;3,3;1,3;36;18,2;75,9
16062;"Nordhausen";"Landkreis";25,8;119;50,5;4,2;1,5;40,5;21,1;68,8
16063;"Wartburgkreis";"Landkreis";24,9;95;50;2,8;0,8;35,4;22,5;73,8
16064;"Unstrut-Hainich-Kreis";"Landkreis";24,5;106;50,4;3,5;1,5;39,1;23,2;70,6
16065;"Kyffhäuserkreis";"Landkreis";26,5;73;50,3;2,8;1,2;39,8;25;70,4
16066;"Schmalkalden-Meiningen";"Landkreis";25,9;102;50;3,2;0,9;36,9;21,6;72,2
16067;"Gotha";"Landkreis";24,8;145;50,2;5,4;1,1;37,4;23,2;72,4
16068;"Sömmerda";"Landkreis";23,8;87;50;2,6;0,5;38;24,2;72,1
16069;"Hildburghausen";"Landkreis";24,3;68;50;2,9;1,1;37,1;25,2;72,8
16070;"Ilm-Kreis";"Landkreis";25,4;129;49,7;5,3;1,3;38,7;25;75
16071;"Weimarer Land";"Landkreis";23,4;102;50,4;3,5;1,1;39;23,7;75,3
16072;"Sonneberg";"Landkreis";27,4;130;50,8;4,1;1,5;36,8;25,6;70
16073;"Saalfeld-Rudolstadt";"Landkreis";28,4;104;50,8;2,7;1,1;38;27;72,5
16074;"Saale-Holzland-Kreis";"Landkreis";25,4;102;50,2;2,9;0,2;36;23,5;75,9
16075;"Saale-Orla-Kreis";"Landkreis";26,1;71;50,5;3,3;1,3;36,8;26,5;74,3
16076;"Greiz";"Landkreis";28,5;117;50,7;2,3;0,7;38,4;25,6;74,8
16077;"Altenburger Land";"Landkreis";29,9;159;51;3,2;1,4;40,3;27,5;71
