Entity,Code,Day,Weekly new hospital admissions
Greece,GRC,2020-03-22,170.175
Greece,GRC,2020-03-29,306.316
Greece,GRC,2020-04-05,166.286
Greece,GRC,2020-04-12,104.05
Greece,GRC,2020-04-19,56.401
Greece,GRC,2020-04-26,65.153
Greece,GRC,2020-05-03,36.952
Greece,GRC,2020-05-10,41.814
Greece,GRC,2020-05-17,19.449
Greece,GRC,2020-05-24,12.642
Greece,GRC,2020-05-31,7.779
Greece,GRC,2020-06-07,30.145
Greece,GRC,2020-06-14,18.476
Greece,GRC,2020-08-09,103.078
Greece,GRC,2020-08-16,222.687
Greece,GRC,2020-08-23,175.037
Greece,GRC,2020-08-30,194.486
Greece,GRC,2020-09-06,209.072
Greece,GRC,2020-09-13,252.832
Greece,GRC,2020-09-20,330.626
Greece,GRC,2020-09-27,326.737
Greece,GRC,2020-10-04,387.027
Greece,GRC,2020-10-11,352.992
Greece,GRC,2020-10-18,408.421
Greece,GRC,2020-10-25,573.734
Greece,GRC,2020-11-01,938.395
Greece,GRC,2020-11-08,1858.314
Greece,GRC,2020-11-15,2968.829
Greece,GRC,2020-11-22,3319.877
Greece,GRC,2020-11-29,2910.484
Greece,GRC,2020-12-06,2461.221
Greece,GRC,2020-12-13,1924.439
Greece,GRC,2020-12-20,1532.55
Greece,GRC,2020-12-27,1157.192
Greece,GRC,2021-01-03,1022.997
Greece,GRC,2021-01-10,909.222
Greece,GRC,2021-01-17,912.14
Greece,GRC,2021-01-24,704.039
Greece,GRC,2021-01-31,905.332
Greece,GRC,2021-02-07,1190.255
Greece,GRC,2021-02-21,1485.873
Greece,GRC,2021-02-28,1943.888
Greece,GRC,2021-03-07,2501.09
Greece,GRC,2021-03-14,3081.631
Greece,GRC,2021-03-21,3215.827
Greece,GRC,2021-03-28,3042.734
Greece,GRC,2021-04-04,3379.195
Greece,GRC,2021-04-11,3646.613
Greece,GRC,2021-04-18,3486.162
Greece,GRC,2021-04-25,3214.854
Greece,GRC,2021-05-02,2934.794
Greece,GRC,2021-05-09,2569.161
