"";"Kreis";"AG_rki";"ges";"m";"w"
"472";5314;4;109611;53172;56439
"473";5314;5;58559;26493;32066
"474";5314;6;19687;7221;12466
"475";5315;1;54589;27990;26599
"476";5315;2;94151;48461;45690
"477";5315;3;304884;148860;156024
"478";5315;4;385925;193982;191943
"479";5315;5;189843;88093;101750
"480";5315;6;58471;23087;35384
"481";5316;1;8095;4143;3952
"482";5316;2;15314;7948;7366
"483";5316;3;36552;18833;17719
"484";5316;4;57691;28672;29019
"485";5316;5;33721;15432;18289
"486";5316;6;12356;4748;7608
"487";5334;1;24977;12722;12255
"488";5334;2;46282;23917;22365
"489";5334;3;157209;87864;69345
"490";5334;4;178758;89487;89271
"491";5334;5;114037;53707;60330
"492";5334;6;35763;13770;21993
"493";5358;1;12830;6651;6179
"494";5358;2;24024;12519;11505
"495";5358;3;59971;31743;28228
"496";5358;4;91464;45619;45845
"497";5358;5;59258;28246;31012
"498";5358;6;17091;6587;10504
"499";5362;1;23592;12213;11379
"500";5362;2;44331;22799;21532
"501";5362;3;101251;52165;49086
"502";5362;4;168118;82619;85499
"503";5362;5;102674;48087;54587
"504";5362;6;30649;12172;18477
"505";5366;1;9089;4535;4554
"506";5366;2;17540;8981;8559
"507";5366;3;41151;21381;19770
"508";5366;4;68838;34067;34771
"509";5366;5;44303;21585;22718
"510";5366;6;12735;4988;7747
"511";5370;1;12083;6210;5873
"512";5370;2;23267;11987;11280
"513";5370;3;56046;29425;26621
"514";5370;4;91114;45153;45961
"515";5370;5;56584;27401;29183
"516";5370;6;16461;6330;10131
"517";5374;1;13535;6899;6636
"518";5374;2;25660;13080;12580
"519";5374;3;59867;31547;28320
"520";5374;4;94653;46761;47892
"521";5374;5;59256;28272;30984
"522";5374;6;19086;7283;11803
"523";5378;1;12918;6618;6300
"524";5378;2;26096;13545;12551
"525";5378;3;56130;28906;27224
"526";5378;4;101479;49299;52180
"527";5378;5;64708;30253;34455
"528";5378;6;21940;8735;13205
"529";5382;1;28938;15018;13920
"530";5382;2;58044;30183;27861
"531";5382;3;128962;67070;61892
"532";5382;4;212662;103940;108722
"533";5382;5;132402;62198;70204
"534";5382;6;39756;15991;23765
"535";5512;1;5339;2753;2586
"536";5512;2;9894;5133;4761
"537";5512;3;25641;13252;12389
"538";5512;4;41096;20387;20709
"539";5512;5;27259;12726;14533
"540";5512;6;8336;2937;5399
"541";5513;1;13767;7014;6753
"542";5513;2;24945;13017;11928
"543";5513;3;61790;32599;29191
"544";5513;4;87506;44513;42993
"545";5513;5;54559;25948;28611
"546";5513;6;17078;5941;11137
"547";5515;1;14563;7478;7085
"548";5515;2;25218;13118;12100
"549";5515;3;102805;48993;53812
"550";5515;4;100386;49775;50611
"551";5515;5;54039;25134;28905
"552";5515;6;18282;6732;11550
"553";5554;1;19100;9825;9275
"554";5554;2;36759;18770;17989
"555";5554;3;87289;45944;41345
"556";5554;4;131685;66592;65093
"557";5554;5;74191;36003;38188
"558";5554;6;22315;8431;13884
"559";5558;1;10887;5529;5358
"560";5558;2;20530;10635;9895
"561";5558;3;47457;25049;22408
"562";5558;4;78579;38867;39712
"563";5558;5;48837;23449;25388
"564";5558;6;14296;5307;8989
"565";5562;1;28584;14700;13884
"566";5562;2;53577;27669;25908
"567";5562;3;129707;67133;62574
"568";5562;4;213643;105851;107792
"569";5562;5;144275;67715;76560
"570";5562;6;44351;16185;28166
"571";5566;1;22680;11676;11004
"572";5566;2;43576;22527;21049
"573";5566;3;102306;53940;48366
"574";5566;4;158932;79508;79424
"575";5566;5;92016;44436;47580
"576";5566;6;28710;10791;17919
"577";5570;1;13351;6833;6518
"578";5570;2;26624;13728;12896
"579";5570;3;61012;32071;28941
"580";5570;4;97757;48797;48960
"581";5570;5;60028;28686;31342
"582";5570;6;19068;7093;11975
"583";5711;1;16707;8532;8175
"584";5711;2;31171;15957;15214
"585";5711;3;88901;43978;44923
"586";5711;4;110546;54779;55767
"587";5711;5;63728;29319;34409
"588";5711;6;23142;8528;14614
"589";5754;1;18329;9402;8927
"590";5754;2;35402;18222;17180
"591";5754;3;84652;45084;39568
"592";5754;4;130086;65438;64648
"593";5754;5;72857;35080;37777
"594";5754;6;23612;8989;14623
"595";5758;1;11818;6118;5700
"596";5758;2;23348;12018;11330
"597";5758;3;54075;28189;25886
"598";5758;4;87710;43619;44091
"599";5758;5;54386;25975;28411
"600";5758;6;19241;7114;12127
"601";5762;1;6166;3187;2979
"602";5762;2;12860;6611;6249
"603";5762;3;29989;16090;13899
